model_name,experiment,batch_size,optimizer,lr,dropout,regularization,lambda,history,num_epochs,val_precision,val_recall,val_f1_score,val_accuracy
efficientnetb4,1,256,adam,0.01,0.0,none,0.0,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30], 'train_loss': [2.2243570800357393, 2.009950961897108, 1.7404196457544963, 1.5732264598210652, 1.427353378952874, 1.3315190730836657, 1.2417783426496718, 1.1778613135867648, 1.1165127116733127, 1.0770048795912002, 1.0467924560334947, 1.00850164826711, 0.9791544559054904, 0.9478160485585531, 0.9259275988790724, 0.9019480782614814, 0.8847738101959228, 0.8638191692352295, 0.84752964220047, 0.8317673484378391, 0.8086475270059373, 0.8049737668991089, 0.7750932085249159, 0.7708471994188096, 0.7714917657004462, 0.7393003392537435, 0.7373956013361613, 0.7238215224795871, 0.7161047599156698, 0.6988774610943265], 'train_acc': [0.14893333333333333, 0.1986, 0.315, 0.3901222222222222, 0.4619333333333333, 0.509, 0.5487555555555556, 0.5734555555555556, 0.5965444444444444, 0.6140888888888889, 0.6241, 0.6379777777777778, 0.6493777777777778, 0.6617444444444445, 0.6679777777777778, 0.6797666666666666, 0.6859333333333333, 0.6919777777777778, 0.699, 0.7038555555555556, 0.7130777777777778, 0.7147444444444444, 0.7253111111111111, 0.7269777777777777, 0.7294444444444445, 0.7395666666666667, 0.7387222222222222, 0.7452666666666666, 0.7468555555555556, 0.7538222222222222], 'val_loss': [1.9714388889100816, 1.8066579016579523, 1.6679344250361126, 1.5291704605526395, 1.4134286970350478, 1.322127280023363, 1.1978945848464966, 1.1881794441223144, 1.108444293223487, 1.0640765670988295, 1.0347731316460504, 1.0316318988800048, 1.0019730780919394, 1.011649385187361, 1.0163145165337457, 0.9443121355586582, 0.9413927614953783, 0.947671681382921, 0.9300596043480767, 0.9283442897584703, 0.9343597529729207, 0.8506999734030829, 0.9240702103508843, 0.9350651604122586, 0.8890886411719852, 0.8594114090177748, 0.831999542204539, 0.8507656702677409, 0.845866912788815, 0.8861189053111607], 'val_acc': [0.20893333333333333, 0.2901666666666667, 0.3385222222222222, 0.41283333333333333, 0.4718888888888889, 0.5005555555555555, 0.5613, 0.5720555555555555, 0.5999666666666666, 0.6190777777777777, 0.6331, 0.6248555555555556, 0.6432666666666667, 0.6449, 0.6455888888888889, 0.6601333333333333, 0.6677, 0.6665555555555556, 0.6700444444444444, 0.6709444444444445, 0.6702, 0.7002333333333334, 0.6751777777777778, 0.6763555555555556, 0.6869888888888889, 0.6982111111111111, 0.7056222222222223, 0.7018111111111112, 0.7038, 0.6932333333333334]}",30,0.7986574172973633,0.7874444723129272,0.7864154577255249,0.7874444723129272
efficientnetb4,1,64,adam,0.01,0.0,none,0.0,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30], 'train_loss': [2.270403869035509, 2.1343011247634887, 1.9516683644188775, 1.9021846787982517, 1.9264083265516494, 1.7493882737901476, 1.6637761289172703, 1.5890047160042657, 1.5334741083145143, 1.4833175999747383, 1.433465949397617, 1.3909788465076023, 1.352691686460707, 1.3161554910871718, 1.2916687594307794, 1.259058699268765, 1.2318042431089613, 1.2148802777820162, 1.2975179656240676, 1.1802095999134912, 1.1546056983311972, 1.137601882425944, 1.133645951186286, 1.1116138704299927, 1.0973629486931695, 1.0780882727940877, 1.066503689342075, 1.0592024116516112, 1.049868532371521, 1.0491956545935737], 'train_acc': [0.13835555555555556, 0.18295555555555557, 0.2381888888888889, 0.2612111111111111, 0.23996666666666666, 0.31544444444444447, 0.35067777777777775, 0.3838111111111111, 0.41346666666666665, 0.44103333333333333, 0.46564444444444447, 0.4817888888888889, 0.49785555555555555, 0.5123666666666666, 0.5243777777777778, 0.5373555555555556, 0.5478555555555555, 0.5557777777777778, 0.5238222222222222, 0.5684777777777777, 0.5798333333333333, 0.5849888888888889, 0.5877333333333333, 0.5952444444444445, 0.6013111111111111, 0.6086111111111111, 0.6152111111111112, 0.6151777777777778, 0.6207777777777778, 0.6197111111111111], 'val_loss': [2.307114443122016, 1.9595511709213256, 1.8794493350558812, 1.90686012134552, 1.7960982333289253, 1.6974622642729018, 1.6037222204844157, 1.5939860552046035, 1.567079862467448, 1.4598843911064996, 1.4825233215120104, 1.4140844738854301, 1.4174466865115696, 1.4251025710635714, 1.3891652625401816, 1.243530608537462, 1.2906959616767035, 1.2263904428905912, 1.2138747613483005, 1.211885580391354, 1.159439376449585, 1.2823256136099497, 1.1667923312717015, 1.166315560054779, 1.164450423579746, 1.1527359157562256, 1.1245983757019042, 1.102673012246026, 1.1554844181378683, 1.1358461955441368], 'val_acc': [0.1, 0.23221111111111112, 0.2670222222222222, 0.24804444444444446, 0.2922777777777778, 0.3393888888888889, 0.37425555555555556, 0.3708666666666667, 0.41126666666666667, 0.45734444444444444, 0.4574888888888889, 0.47704444444444444, 0.4748, 0.48094444444444445, 0.5083777777777778, 0.5426444444444445, 0.5332444444444444, 0.5487888888888889, 0.5578555555555555, 0.5596333333333333, 0.5785333333333333, 0.5367111111111111, 0.5762888888888889, 0.5802333333333334, 0.5769666666666666, 0.5828666666666666, 0.5968, 0.5975888888888888, 0.5843777777777778, 0.5903111111111111]}",30,0.6869542002677917,0.6695555448532104,0.6648367643356323,0.6695555448532104
efficientnetb4,1,128,adam,0.001,0.0,none,0.0,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26], 'train_loss': [1.8239459637324016, 1.4371669301350911, 1.2424323809623719, 1.1272655449761284, 1.0425388959460788, 0.9683143183178372, 0.9081438262515598, 0.8558059798982408, 0.8076908834987216, 0.7693429113388062, 0.7230600984149509, 0.6875291540781657, 0.647938235367669, 0.6824618414031135, 0.5814668811586168, 0.5520273303243849, 0.5215455194049411, 0.5069452154795329, 0.49850470797220864, 0.4388644857088725, 0.40492095359696284, 0.4058524996439616, 0.3627074803352356, 0.33468303626378376, 0.3329695716328091, 0.2999907117207845], 'train_acc': [0.29943333333333333, 0.4623555555555556, 0.5466222222222222, 0.5927111111111111, 0.6262222222222222, 0.6531333333333333, 0.6792888888888889, 0.6943333333333334, 0.7135666666666667, 0.7273, 0.7428777777777777, 0.7545, 0.7700555555555556, 0.7570111111111111, 0.7924555555555556, 0.8034, 0.8138222222222222, 0.8194222222222223, 0.8235555555555556, 0.8420555555555556, 0.8549222222222223, 0.8550222222222222, 0.8707666666666667, 0.8798444444444444, 0.8804444444444445, 0.8925444444444445], 'val_loss': [1.5893370409223768, 1.4162112630208334, 1.216887688975864, 1.123386158159044, 1.101017007001241, 1.0601550962554085, 1.0754351281378005, 0.9874152797698975, 0.9772149830288357, 0.9724786561118232, 0.9474275461408828, 0.9702882972717285, 0.9348287210570442, 0.9396427882724339, 0.9187379440519545, 0.9554026589181688, 0.9067224426269531, 0.9623356715732151, 0.933566543314192, 0.9861009661250644, 1.0116581980281405, 1.0115335794872709, 1.0217990034951103, 1.0585522581630282, 1.104838840172026, 1.0734574819458855], 'val_acc': [0.4134333333333333, 0.4920333333333333, 0.5539888888888889, 0.5952888888888889, 0.6065333333333334, 0.6194444444444445, 0.6256333333333334, 0.6490777777777778, 0.6557333333333333, 0.6608222222222222, 0.6745666666666666, 0.6713222222222223, 0.6823555555555556, 0.6754888888888889, 0.6908888888888889, 0.6859333333333333, 0.6936222222222223, 0.6752, 0.6999111111111112, 0.6933111111111111, 0.6914777777777777, 0.6909111111111111, 0.6961666666666667, 0.6962111111111111, 0.6892, 0.6970111111111111]}",26,0.7972687482833862,0.7894444465637207,0.7906147241592407,0.7894444465637207
efficientnetb4,1,128,sgd,0.01,0.0,none,0.0,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17], 'train_loss': [1.9108549777348836, 1.4736398665534125, 1.2621308876249526, 1.1419447267744276, 1.0545518903308444, 0.9779763996283213, 0.9099331622335646, 0.8556461219999525, 0.8065361423121559, 0.7586878434075249, 0.7217509758525424, 0.6864112557993994, 0.6411015619277954, 0.6099878561867608, 0.5763815551227993, 0.5488881849182977, 0.5124046939902835], 'train_acc': [0.2804, 0.4477555555555556, 0.5365333333333333, 0.5850111111111111, 0.6192, 0.6477, 0.6720555555555555, 0.6917444444444445, 0.7106666666666667, 0.7278333333333333, 0.7394444444444445, 0.7539444444444444, 0.7686777777777778, 0.7802444444444444, 0.7917444444444445, 0.8033, 0.8153777777777778], 'val_loss': [1.6132155207528007, 1.368159226014879, 1.2475954729292127, 1.1626059244579738, 1.1972433561325073, 1.0806487804200915, 1.0380983745151096, 1.0012424175050523, 1.0029420681317647, 1.0173367197460599, 1.0177358228047688, 1.0220478126949735, 0.9996775841818916, 1.0602379448042976, 1.1014776178254022, 1.0847696761449177, 1.0504907447391085], 'val_acc': [0.40307777777777776, 0.49575555555555556, 0.5416888888888889, 0.5783666666666667, 0.5813666666666667, 0.6142111111111112, 0.6300666666666667, 0.6438888888888888, 0.6491333333333333, 0.6462666666666667, 0.6504444444444445, 0.6553, 0.6548111111111111, 0.6503222222222222, 0.6378222222222222, 0.6559111111111111, 0.6632888888888889]}",17,0.7568122148513794,0.7495555877685547,0.749526858329773,0.7495555281639099
efficientnetb4,1,32,adam,0.001,0.0,none,0.0,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'train_loss': [1.8599441291809082, 1.4784161321851943, 1.24949381213718, 1.1221418157577514, 1.0309896138721042, 0.9831450511932373, 0.9061346217049493, 0.8815226677152845, 0.8105426689253913, 0.7660436529795329, 0.765831872007582, 0.7114260045422448, 0.6749097278436025, 0.6376549497074551, 0.6051265313784281, 0.5675731113645766, 0.5423743309458097, 0.5109927608940337], 'train_acc': [0.286, 0.4476111111111111, 0.5439333333333334, 0.5959888888888889, 0.6281111111111111, 0.6481888888888889, 0.6756555555555556, 0.6870777777777778, 0.7118222222222222, 0.7279666666666667, 0.7294333333333334, 0.7476111111111111, 0.7595444444444445, 0.7736222222222222, 0.7857777777777778, 0.7981333333333334, 0.8065111111111111, 0.8186222222222223], 'val_loss': [2.279155066426595, 1.313516376929813, 1.1630898155583276, 1.0987866047329373, 1.0697045462873247, 1.0188463624397914, 0.9856883936007818, 0.9676098619355096, 0.8930864811862509, 0.8821287443028556, 0.9621257555352317, 0.8968454276137882, 0.9232369150148497, 0.8327335896220472, 0.8420020021147198, 0.9014121537658903, 0.8559221322165596, 0.8769200321018695], 'val_acc': [0.27664444444444447, 0.5195777777777778, 0.5803333333333334, 0.6064333333333334, 0.6163333333333333, 0.6359666666666667, 0.6500111111111111, 0.6533333333333333, 0.6826888888888889, 0.6881444444444444, 0.6612222222222223, 0.6932333333333334, 0.6812333333333334, 0.7089888888888889, 0.7070111111111111, 0.7025666666666667, 0.7105666666666667, 0.7151777777777778]}",18,0.8145744204521179,0.8118888735771179,0.8120794296264648,0.8118888735771179
efficientnetb4,1,128,sgd,0.1,0.0,none,0.0,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], 'train_loss': [2.0358600681304933, 1.6969036493513319, 1.529414259507921, 1.396217493226793, 1.2947931646135118, 1.2022133979691398, 1.1221940796322292, 1.0582308164808485, 1.0017264036602445, 0.9519123879538642, 0.9012620713339912, 0.8689679087850782, 0.819560168308682, 0.7836376683764987, 0.7416991700066461, 0.7100281810760498, 0.6800041635142432, 0.6529041929668851, 0.6189573880341318], 'train_acc': [0.22664444444444445, 0.35085555555555553, 0.4295333333333333, 0.48623333333333335, 0.5269555555555555, 0.5616222222222222, 0.5937777777777777, 0.6173888888888889, 0.6399666666666667, 0.6571, 0.6755555555555556, 0.6886333333333333, 0.706, 0.7198222222222223, 0.7350222222222222, 0.7461333333333333, 0.7573777777777778, 0.7654555555555556, 0.7771777777777777], 'val_loss': [1.8220172566943698, 1.5776397892634073, 1.4579952018737794, 1.3811461776309544, 1.320071354675293, 1.234713467725118, 1.2027031322691175, 1.1456932843738132, 1.1087786643346151, 1.0903938901689318, 1.0549547236548529, 1.1023272746404011, 1.0720541734059652, 1.0442156362321642, 1.0178351859622532, 1.0573492301305134, 1.1013121177885268, 1.0621432584550645, 1.039807277637058], 'val_acc': [0.29446666666666665, 0.40673333333333334, 0.46321111111111113, 0.49195555555555553, 0.5179666666666667, 0.5542111111111111, 0.568, 0.5929444444444445, 0.6053666666666667, 0.6082444444444445, 0.6274666666666666, 0.6212777777777778, 0.6233111111111111, 0.6355111111111111, 0.6457111111111111, 0.6392444444444444, 0.6344666666666666, 0.6463, 0.6513111111111111]}",19,0.7459988594055176,0.7413333654403687,0.7411744594573975,0.7413333058357239
efficientnetb4,1,256,adam,0.001,0.0,none,0.0,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16], 'train_loss': [1.9107801044676038, 1.506930685742696, 1.2955204457388985, 1.1739001080195108, 1.0680045503828262, 0.998075859620836, 0.9366887101067437, 0.8794223687065972, 0.8343215577231513, 0.7816685111363729, 0.7404922087245517, 0.6971392841974894, 0.6564428603490193, 0.6153394142256843, 0.575988635942671, 0.5383417493714227], 'train_acc': [0.26695555555555556, 0.4358111111111111, 0.5245111111111112, 0.5726888888888889, 0.6149777777777777, 0.6426222222222222, 0.6649222222222222, 0.6875666666666667, 0.7029, 0.7214777777777778, 0.7359444444444444, 0.7524, 0.7677666666666667, 0.7825444444444445, 0.7959888888888889, 0.8077888888888889], 'val_loss': [1.6050391776614719, 1.4115192316479153, 1.2475535031212701, 1.1915775941212972, 1.1157243025885688, 1.1043193365414938, 1.1169392154269748, 1.0487426490783691, 1.0616617020501031, 1.037195725271437, 1.038647083706326, 1.0346258807076347, 1.0405444918526543, 1.044977590476142, 1.072510498046875, 1.0459511024898953], 'val_acc': [0.3852111111111111, 0.4819, 0.5460111111111111, 0.5694333333333333, 0.5990222222222222, 0.6052888888888889, 0.6069333333333333, 0.6280222222222223, 0.6317333333333334, 0.6360444444444444, 0.6441, 0.6436555555555555, 0.6470333333333333, 0.6518777777777778, 0.6557111111111111, 0.6590444444444444]}",16,0.7450023889541626,0.7431110739707947,0.7424566745758057,0.7431111335754395
efficientnetb4,1,64,adam,0.001,0.0,l2,0.001,"{'epoch': [1, 2, 3, 4, 5], 'train_loss': [1.8541587592230904, nan, nan, nan, nan], 'train_acc': [0.2784, 0.10233333333333333, 0.1, 0.1, 0.1], 'val_loss': [6.079682358678182, nan, nan, nan, nan], 'val_acc': [0.3661888888888889, 0.1, 0.1, 0.1, 0.1]}",5,0.3862893283367157,0.3781110942363739,0.3622541129589081,0.3781111240386963
efficientnetb4,1,64,adam,0.001,0.0,none,0.0,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], 'train_loss': [1.7968424700419108, 1.4032722449620565, 1.214236091295878, 1.1079010997136434, 1.0293762358241612, 0.9785290359603034, 0.9140292184935676, 0.8528205026944479, 0.8090674900902642, 0.7663709696663751, 0.7263255102157593, 0.6917676812701755, 0.6565194541083442, 0.6266002645492553, 0.6709561611652374, 0.580460710313585, 0.5487503719011942, 0.514762119017707, 0.4886337937063641, 0.4699415823486116, 0.4604034705903795, 0.4201686942100525, 0.39660140817430284], 'train_acc': [0.3148222222222222, 0.4789888888888889, 0.5585111111111111, 0.6005222222222222, 0.6298666666666667, 0.6515111111111112, 0.6739444444444445, 0.6968666666666666, 0.7116888888888889, 0.7278333333333333, 0.7397333333333334, 0.7551222222222223, 0.7661888888888889, 0.7787666666666667, 0.7630222222222223, 0.7936444444444445, 0.8054444444444444, 0.8165, 0.8264, 0.8327222222222223, 0.8362333333333334, 0.8502444444444445, 0.8581555555555556], 'val_loss': [1.5128550147798325, 1.286091790453593, 1.1736131559477911, 1.1234317707273695, 1.0554410121175979, 0.9888370241641998, 0.9452788878758749, 1.0072389076179928, 0.9329569282425775, 0.8957631535053253, 0.891870667219162, 0.8904976929293739, 0.8812288774278428, 0.8729588254345788, 0.870677486954795, 0.8779180473486582, 0.8796442889319526, 0.9350664658519957, 0.8607567956288655, 0.8756131371180217, 0.9208879116773605, 0.9557073424710167, 1.0398943233595954], 'val_acc': [0.4194111111111111, 0.5245666666666666, 0.5741777777777778, 0.5980333333333333, 0.6234222222222222, 0.6492777777777777, 0.6639333333333334, 0.6450666666666667, 0.6709, 0.6863, 0.6923666666666667, 0.6952555555555555, 0.6997333333333333, 0.6986, 0.7007666666666666, 0.7091222222222222, 0.7095, 0.7080888888888889, 0.7128333333333333, 0.7143111111111111, 0.7137666666666667, 0.6998333333333333, 0.6943444444444444]}",23,0.8110091686248779,0.8065555095672607,0.8068586587905884,0.8065555691719055
efficientnetb4,1,64,adam,0.001,0.3,none,0.0,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'train_loss': [1.837126486714681, 1.4285633295694986, 1.2255872445424398, 1.1088650636249118, 1.0295516595840455, 0.9578549745665657, 0.8960911872863769, 0.8415727107895745, 0.7953965259552002, 0.7491927528805203, 0.7092243894471063, 0.6739091233253479, 0.6441886847919888, 0.608142288462321, 0.5778872710863749, 0.544983547867669, 0.5192679117467668, 0.48848091502719454], 'train_acc': [0.29525555555555555, 0.46815555555555555, 0.5528444444444445, 0.6009888888888889, 0.6313333333333333, 0.6598333333333334, 0.6825888888888889, 0.7014444444444444, 0.7183333333333334, 0.7355444444444444, 0.7490333333333333, 0.7625, 0.7716111111111111, 0.7843, 0.7947555555555555, 0.8063444444444444, 0.8146, 0.8263333333333334], 'val_loss': [1.5711698806762695, 1.2714341899236044, 1.18587897717158, 1.0986827925682068, 1.0566511339717441, 1.0169643758243985, 0.9725573868433635, 0.9572885233879089, 0.8994791586505042, 0.9032445018874274, 0.8729026365756989, 0.8683577325344086, 0.8909097633944617, 0.8484561660554674, 0.8850170334445105, 0.8558864040957557, 0.8888659268220266, 0.9251782146705522], 'val_acc': [0.40686666666666665, 0.5292111111111111, 0.5751555555555555, 0.6021333333333333, 0.6276, 0.6380888888888889, 0.6511444444444444, 0.6627444444444445, 0.6818, 0.6837444444444445, 0.6925555555555556, 0.6978222222222222, 0.6942666666666667, 0.7097333333333333, 0.6989, 0.7128666666666666, 0.7051222222222222, 0.7048444444444445]}",18,0.8090057969093323,0.8058888912200928,0.8064127564430237,0.8058888912200928
efficientnetb4,1,32,sgd,0.01,0.0,none,0.0,"{'epoch': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], 'train_loss': [1.8196082907358806, 1.413612829038832, 1.1997300571865506, 1.0658595395406087, 0.9699427905082703, 0.8921088958952162, 0.8297253980000814, 0.7770343407101101, 0.7267437605698903, 0.6871675180806054, 0.6499779280503591, 0.613201205947664, 0.5774725018766191, 0.5500125355455611], 'train_acc': [0.31353333333333333, 0.4803777777777778, 0.5656333333333333, 0.6159111111111111, 0.6525111111111112, 0.6819777777777778, 0.7027666666666667, 0.7206666666666667, 0.7399555555555556, 0.7543888888888889, 0.7671333333333333, 0.7805222222222222, 0.7919111111111111, 0.8024555555555556], 'val_loss': [1.5706841181649103, 1.2826947202099694, 1.1512969744417403, 1.0603581698470645, 1.0075255323171615, 0.9456937346922026, 0.9391744558281369, 0.9729677583297094, 0.9326247288809882, 0.9105600523836083, 0.9129499228815238, 0.9040479318274393, 0.9107043336033821, 0.9370832003381517], 'val_acc': [0.41667777777777776, 0.5344333333333333, 0.5874, 0.6198222222222223, 0.6407222222222222, 0.6636666666666666, 0.6649555555555555, 0.6575333333333333, 0.6797, 0.6835222222222223, 0.6885333333333333, 0.692, 0.6907333333333333, 0.6939777777777778]}",14,0.7947900295257568,0.7845555543899536,0.7857276201248169,0.7845555543899536
